OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter
4,212195,CONLEY RD SE @ 925,E,1,N,DIRT,55,Atlanta,Fulton,3.115637,1.140413,AT,Y,Y,N,N,Sign,33.650083,-84.359553,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0
8,212196,FORREST PARK RD SE @ CONLEY RD SE,NE,1,N,DIRT,55,Atlanta,Fulton,16.880733,3.145009,FS,N,Y,N,N,Sign,33.65071,-84.357892,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0
20,212198,FORREST PARK RD SE @ OAKSHIRE WAY SE,NE,1,N,DIRT,55,Atlanta,Fulton,10.874059,2.032686,NS,Y,N,N,N,Sign,33.654945,-84.355874,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0
29,212199,FORREST PARK RD SE @ EISENHOWER RD SE,N,1,N,DIRT,55,Atlanta,Fulton,13.732863,2.850085,FS,N,Y,N,N,Sign,33.657139,-84.355506,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0
42,212200,FORREST PARK RD SE @ PINE FOREST DR SE,N,1,Y,DIRT,55,Atlanta,Fulton,23.037409,4.418463,FS,Y,Y,Y,Y,Sign,33.659807,-84.355474,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7,  ,0
61,212201,HUTCHENS RD SE @ FORREST PARK RD SE,W,1,N,DIRT,55,Atlanta,Fulton,12.372047,2.102776,FS,N,Y,N,N,Sign,33.665966,-84.355759,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0
71,212205,HUTCHENS RD SE @ KATOMARICK DR SE,W,1,Y,DIRT,55,Atlanta,Fulton,18.143325,2.71772,FS,Y,Y,Y,Y,Sign,33.66812,-84.364132,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7,  ,0
76,212207,HUTCHENS RD SE @ KING SMITH RD SE,NW,1,N,DIRT,55,Atlanta,Fulton,16.233342,1.002156,NS,Y,Y,N,Y,Sign,33.669525,-84.367673,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5, ADA_Access ,0
86,212628,STONE RD SW @ N CAMP CREEK PKY SW,SE,1,N,DIRT,66,Atlanta,Fulton,10.531876,1.768674,NS,Y,Y,N,N,Sign,33.67255,-84.500602,13121007706,Census Tract 77.06,33.6739956,-84.5227940,21.7,45101,9597,29083.5, ADA_Access Sidewalk,0
135,159123,CLEVELAND AVE SE @ 365,W,1,Y,CONC,78,Atlanta,Fulton,42.483435,30.389895,OP,Y,Y,N,Y,MARTA Shelter,33.680621,-84.378063,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,1
